Section,Description
194LD,TDS on interest on bonds / government securities
194M,Payment of certain sums by certain individuals or Hindu Undivided Family
194N,"Payment of certain amounts in cash other than cases covered by first proviso or 
third proviso"
"194N 
First 
Proviso","Payment of certain amounts in cash to non-filers except in case of co-operative 
societies"
"194N 
Third 
Proviso","Payment of certain amounts in cash to co-operative societies not covered by 
first proviso"
"194N 
First 
Proviso 
read 
with 
Third 
Proviso",Payment of certain amount in cash to non-filers being co-operative societies
194O,Payment of certain sums by e-commerce operator to e-commerce participant
194P,Deduction of tax in case of specified senior citizen
194Q,Deduction of tax at source on payment of certain sum for purchase of goods
195,Other sums payable to a non-resident
196A,Income in respect of units of non-residents
196B,Payments in respect of units to an offshore fund
196C,Income from foreign currency bonds or shares of Indian
196D,Income of foreign institutional investors from securities
196DA,Income of specified fund from securities
206CA,Collection at source from alcoholic liquor for human
206CB,Collection at source from timber obtained under forest lease
206CC,"Collection at source from timber obtained by any mode other than a forest 
lease"
206CD,Collection at source from any other forest produce (not being tendu leaves)
206CE,Collection at source from any scrap
206CF,"Collection at source from contractors or licensee or lease relating to parking 
lots"
206CG,Collection at source from contractors or licensee or lease relating to toll plaza
206CH,"Collection at source from contractors or licensee or lease relating to mine or 
quarry"
206CI,Collection at source from tendu Leaves
206CJ,Collection at source from on sale of certain Minerals
206CK,Collection at source on cash case of Bullion and Jewellery
206CL,Collection at source on sale of Motor vehicle
206CM,Collection at source on sale in cash of any goods(other than bullion/jewelry)
206CN,Collection at source on providing of any services(other than Chapter-XVII-B)
206CO,"Collection at source on remittance under LRS for purchase of overseas tour 
program package"
206CP,"Collection at source on remittance under LRS for educational loan taken from 
financial institution mentioned in section 80E"
206CQ,"Collection at source on remittance under LRS for purpose other than for 
purchase of overseas tour package or for educational loan taken from financial 
institution"
206CR,Collection at source on sale of goods
206CT,"Collection at source on remittance under LRS is for the purposes of education 
or medical treatment and not covered under Code P"
